Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
122,0 days 01:04:09.786000,HUL,27,,13.0,5.0,0 days 01:02:20.949000,,,42.363,31.061,,0 days 01:03:38.791000,0 days 01:04:09.786000,195.0,208.0,292.0,111.0,False,SOFT,4.0,False,Audi,0 days 00:54:32.984000,2026-06-13 14:41:32.494,1,,False,,False,False,,
123,0 days 01:21:35.142000,HUL,27,,14.0,5.0,,0 days 01:06:00.206000,,,,,,,,,,331.0,False,SOFT,5.0,False,Audi,0 days 01:04:09.786000,2026-06-13 14:51:09.296,125,,False,,False,False,,
124,0 days 01:23:18.264000,HUL,27,,15.0,6.0,0 days 01:21:35.142000,,,40.945,30.873,,0 days 01:22:47.391000,0 days 01:23:18.476000,197.0,199.0,292.0,169.0,False,SOFT,4.0,False,Audi,0 days 01:21:35.142000,2026-06-13 15:08:34.652,1,,False,,False,False,,
125,0 days 01:24:34.921000,HUL,27,0 days 00:01:16.657000,16.0,6.0,,,22.418,31.057,23.182,0 days 01:23:40.682000,0 days 01:24:11.739000,0 days 01:24:34.921000,279.0,281.0,281.0,330.0,True,SOFT,5.0,False,Audi,0 days 01:23:18.264000,2026-06-13 15:10:17.774,1,,False,,False,True,76.657,76.657
126,0 days 01:26:19.612000,HUL,27,,17.0,6.0,,0 days 01:26:19.612000,29.76,41.283,,0 days 01:25:04.796000,0 days 01:25:46.066000,,173.0,220.0,,246.0,False,SOFT,6.0,False,Audi,0 days 01:24:34.921000,2026-06-13 15:11:34.431,1,,False,,False,False,,
127,0 days 00:20:19.331000,LEC,16,,1.0,1.0,0 days 00:18:18.271000,,,40.018,29.995,,0 days 00:19:49.363000,0 days 00:20:19.501000,180.0,221.0,292.0,100.0,False,SOFT,1.0,True,Ferrari,0 days 00:18:18.271000,2026-06-13 14:05:17.781,1,,False,,False,False,,
128,0 days 00:21:35.295000,LEC,16,0 days 00:01:15.964000,2.0,1.0,,,22.209,30.719,23.036,0 days 00:20:41.540000,0 days 00:21:12.259000,0 days 00:21:35.295000,268.0,287.0,269.0,329.0,True,SOFT,2.0,True,Ferrari,0 days 00:20:19.331000,2026-06-13 14:07:18.841,1,,False,,False,True,75.964,75.964
129,0 days 00:23:23.003000,LEC,16,0 days 00:01:47.708000,3.0,1.0,,0 days 00:23:20.215000,29.454,40.551,37.703,0 days 00:22:04.749000,0 days 00:22:45.300000,0 days 00:23:23.003000,211.0,221.0,,249.0,False,SOFT,3.0,True,Ferrari,0 days 00:21:35.295000,2026-06-13 14:08:34.805,1,,False,,False,False,107.708,107.708
130,0 days 00:43:31.948000,LEC,16,,4.0,2.0,0 days 00:41:38.682000,,,42.289,26.511,,0 days 00:43:05.534000,0 days 00:43:32.012000,180.0,193.0,293.0,143.0,False,SOFT,1.0,True,Ferrari,0 days 00:23:23.003000,2026-06-13 14:10:22.513,12,,False,,False,False,,
131,0 days 00:44:47.229000,LEC,16,0 days 00:01:15.281000,5.0,2.0,,,21.936,30.493,22.852,0 days 00:43:53.884000,0 days 00:44:24.377000,0 days 00:44:47.229000,266.0,285.0,276.0,329.0,True,SOFT,2.0,True,Ferrari,0 days 00:43:31.948000,2026-06-13 14:30:31.458,1,,False,,False,True,75.281,75.281
132,0 days 00:46:26.832000,LEC,16,0 days 00:01:39.603000,6.0,2.0,,0 days 00:46:24.031000,27.942,37.563,34.098,0 days 00:45:15.171000,0 days 00:45:52.734000,0 days 00:46:26.832000,203.0,180.0,,260.0,False,SOFT,3.0,True,Ferrari,0 days 00:44:47.229000,2026-06-13 14:31:46.739,1,,False,,False,False,99.603,99.603
133,0 days 01:03:44.965000,LEC,16,,7.0,3.0,0 days 01:01:45.022000,,,42.005,26.454,,0 days 01:03:18.511000,0 days 01:03:44.968000,168.0,220.0,293.0,92.0,False,SOFT,1.0,True,Ferrari,0 days 00:46:26.832000,2026-06-13 14:33:26.342,1,,False,,False,False,,
134,0 days 01:11:32.337000,LEC,16,,8.0,3.0,,0 days 01:11:32.337000,21.904,42.005,,0 days 01:04:06.888000,0 days 01:11:32.337000,,266.0,,,331.0,False,SOFT,2.0,True,Ferrari,0 days 01:03:44.965000,2026-06-13 14:50:44.475,125,,False,,False,False,,
135,0 days 00:21:11.390000,LIN,41,,1.0,1.0,0 days 00:19:26.294000,,,42.484,29.662,,0 days 00:20:41.841000,0 days 00:21:11.587000,203.0,164.0,294.0,164.0,False,SOFT,1.0,True,Racing Bulls,0 days 00:19:26.294000,2026-06-13 14:06:25.804,1,,False,,False,False,,
136,0 days 00:22:27.815000,LIN,41,0 days 00:01:16.425000,2.0,1.0,,,22.198,30.923,23.304,0 days 00:21:33.588000,0 days 00:22:04.511000,0 days 00:22:27.815000,282.0,292.0,281.0,334.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:21:11.390000,2026-06-13 14:08:10.900,1,,False,,False,True,76.425,76.425
137,0 days 00:24:05.902000,LIN,41,0 days 00:01:38.087000,3.0,1.0,,0 days 00:24:03.121000,29.659,36.602,31.826,0 days 00:22:57.474000,0 days 00:23:34.076000,0 days 00:24:05.902000,203.0,224.0,,187.0,False,SOFT,3.0,True,Racing Bulls,0 days 00:22:27.815000,2026-06-13 14:09:27.325,12,,False,,False,False,98.087,98.087
138,0 days 00:43:02.323000,LIN,41,,4.0,2.0,0 days 00:40:47.371000,,,39.022,27.199,,0 days 00:42:35.242000,0 days 00:43:02.331000,199.0,226.0,297.0,138.0,False,SOFT,1.0,True,Racing Bulls,0 days 00:24:05.902000,2026-06-13 14:11:05.412,12,,False,,False,False,,
139,0 days 00:44:18.163000,LIN,41,0 days 00:01:15.840000,5.0,2.0,,,22.015,30.779,23.046,0 days 00:43:24.338000,0 days 00:43:55.117000,0 days 00:44:18.163000,286.0,289.0,283.0,332.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:43:02.323000,2026-06-13 14:30:01.833,1,,False,,False,True,75.84,75.84
140,0 days 00:46:02.338000,LIN,41,0 days 00:01:44.175000,6.0,2.0,,0 days 00:45:59.515000,34.215,37.524,32.436,0 days 00:44:52.378000,0 days 00:45:29.902000,0 days 00:46:02.338000,98.0,175.0,,171.0,False,SOFT,3.0,True,Racing Bulls,0 days 00:44:18.163000,2026-06-13 14:31:17.673,1,,False,,False,False,104.175,104.175
141,0 days 00:51:19.366000,LIN,41,,7.0,3.0,0 days 00:49:39.116000,,,38.654,28.223,,0 days 00:50:51.188000,0 days 00:51:19.436000,190.0,230.0,260.0,151.0,False,SOFT,1.0,True,Racing Bulls,0 days 00:46:02.338000,2026-06-13 14:33:01.848,1,,False,,False,False,,
142,0 days 00:53:38.112000,LIN,41,0 days 00:02:18.746000,8.0,3.0,,0 days 00:53:00.074000,28.279,40.887,69.58,0 days 00:51:47.645000,0 days 00:52:28.532000,0 days 00:53:38.112000,142.0,159.0,,287.0,False,SOFT,2.0,True,Racing Bulls,0 days 00:51:19.366000,2026-06-13 14:38:18.876,1,,False,,False,False,138.746,138.74599999999998
143,0 days 00:21:17.795000,BOR,5,,1.0,1.0,0 days 00:19:32.688000,,,35.884,28.933,,0 days 00:20:48.923000,0 days 00:21:18.052000,90.0,227.0,287.0,137.0,False,SOFT,1.0,True,Audi,0 days 00:19:32.688000,2026-06-13 14:06:32.198,1,,False,,False,False,,
144,0 days 00:22:34.411000,BOR,5,0 days 00:01:16.616000,2.0,1.0,,,22.225,31.043,23.348,0 days 00:21:40.020000,0 days 00:22:11.063000,0 days 00:22:34.411000,281.0,284.0,287.0,334.0,True,SOFT,2.0,True,Audi,0 days 00:21:17.795000,2026-06-13 14:08:17.305,1,,False,,False,True,76.616,76.616
145,0 days 00:24:23.442000,BOR,5,0 days 00:01:49.031000,3.0,1.0,,0 days 00:24:20.499000,33.533,37.89,37.608,0 days 00:23:07.944000,0 days 00:23:45.834000,0 days 00:24:23.442000,213.0,213.0,,234.0,False,SOFT,3.0,True,Audi,0 days 00:22:34.411000,2026-06-13 14:09:33.921,12,,False,,False,False,109.031,109.031
146,0 days 00:43:46.387000,BOR,5,,4.0,2.0,0 days 00:41:48.080000,,,36.706,35.385,,0 days 00:43:11.047000,0 days 00:43:46.462000,202.0,221.0,289.0,186.0,False,SOFT,1.0,True,Audi,0 days 00:24:23.442000,2026-06-13 14:11:22.952,12,,False,,False,False,,
147,0 days 00:45:03.047000,BOR,5,0 days 00:01:16.660000,5.0,2.0,,,22.266,31.008,23.386,0 days 00:44:08.653000,0 days 00:44:39.661000,0 days 00:45:03.047000,277.0,277.0,283.0,328.0,True,SOFT,2.0,True,Audi,0 days 00:43:46.387000,2026-06-13 14:30:45.897,1,,False,,False,True,76.66,76.66
148,0 days 00:46:47.742000,BOR,5,0 days 00:01:44.695000,6.0,2.0,,0 days 00:46:44.863000,30.362,40.501,33.832,0 days 00:45:33.409000,0 days 00:46:13.910000,0 days 00:46:47.742000,189.0,175.0,,251.0,False,SOFT,3.0,True,Audi,0 days 00:45:03.047000,2026-06-13 14:32:02.557,1,,False,,False,False,104.695,104.695
149,0 days 00:51:56.849000,BOR,5,,7.0,3.0,0 days 00:50:04.682000,,,37.182,34.745,,0 days 00:51:22.123000,0 days 00:51:57.052000,229.0,226.0,290.0,143.0,False,SOFT,1.0,True,Audi,0 days 00:46:47.742000,2026-06-13 14:33:47.252,1,,False,,False,False,,
150,0 days 00:53:12.850000,BOR,5,0 days 00:01:16.001000,8.0,3.0,,,22.111,30.878,23.012,0 days 00:52:18.960000,0 days 00:52:49.838000,0 days 00:53:12.850000,275.0,281.0,284.0,334.0,True,SOFT,2.0,True,Audi,0 days 00:51:56.849000,2026-06-13 14:38:56.359,1,,False,,False,True,76.001,76.001
151,0 days 00:54:59.414000,BOR,5,,9.0,3.0,,0 days 00:54:59.414000,31.904,40.382,,0 days 00:53:44.802000,0 days 00:54:25.191000,,163.0,178.0,,217.0,False,SOFT,3.0,True,Audi,0 days 00:53:12.850000,2026-06-13 14:40:12.360,1,,False,,False,False,,
152,0 days 00:20:11.295000,COL,43,,1.0,1.0,0 days 00:18:14.937000,,,41.858,27.982,,0 days 00:19:43.785000,0 days 00:20:11.604000,202.0,226.0,292.0,106.0,False,SOFT,1.0,True,Alpine,0 days 00:18:14.937000,2026-06-13 14:05:14.447,1,,False,,False,False,,
153,0 days 00:21:28.520000,COL,43,0 days 00:01:17.225000,2.0,1.0,,,22.416,31.37,23.439,0 days 00:20:33.711000,0 days 00:21:05.081000,0 days 00:21:28.520000,280.0,283.0,288.0,335.0,True,SOFT,2.0,True,Alpine,0 days 00:20:11.295000,2026-06-13 14:07:10.805,1,,False,,False,True,77.225,77.225
154,0 days 00:23:18.572000,COL,43,0 days 00:01:50.052000,3.0,1.0,,0 days 00:23:15.923000,32.073,42.71,35.269,0 days 00:22:00.593000,0 days 00:22:43.303000,0 days 00:23:18.572000,198.0,186.0,,169.0,False,SOFT,3.0,True,Alpine,0 days 00:21:28.520000,2026-06-13 14:08:28.030,1,,False,,False,False,110.052,110.052
155,0 days 00:28:41.044000,COL,43,,4.0,2.0,0 days 00:26:46.155000,,,41.919,28.4,,0 days 00:28:12.742000,0 days 00:28:41.255000,198.0,242.0,288.0,110.0,False,SOFT,1.0,True,Alpine,0 days 00:23:18.572000,2026-06-13 14:10:18.082,12,,False,,False,False,,
156,0 days 00:29:57.634000,COL,43,0 days 00:01:16.590000,5.0,2.0,,,22.32,31.041,23.229,0 days 00:29:03.364000,0 days 00:29:34.405000,0 days 00:29:57.634000,274.0,283.0,290.0,336.0,True,SOFT,2.0,True,Alpine,0 days 00:28:41.044000,2026-06-13 14:15:40.554,1,,False,,False,True,76.59,76.59
157,0 days 00:31:49.042000,COL,43,0 days 00:01:51.408000,6.0,2.0,,0 days 00:31:46.221000,33.36,42.111,35.937,0 days 00:30:30.994000,0 days 00:31:13.105000,0 days 00:31:49.042000,169.0,170.0,,188.0,False,SOFT,3.0,True,Alpine,0 days 00:29:57.634000,2026-06-13 14:16:57.144,1,,False,,False,False,111.408,111.408
158,0 days 00:42:29.937000,COL,43,,7.0,3.0,0 days 00:40:34.184000,,,41.182,27.888,,0 days 00:42:02.156000,0 days 00:42:29.976000,192.0,237.0,289.0,77.0,False,SOFT,4.0,False,Alpine,0 days 00:31:49.042000,2026-06-13 14:18:48.552,12,,False,,False,False,,
