Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
62,0 days 01:34:20.226000,GAS,10,0 days 00:01:17.292000,24.0,1.0,,,21.978,24.641,30.673,0 days 01:33:24.942000,0 days 01:33:49.583000,0 days 01:34:20.256000,239.0,279.0,266.0,305.0,True,MEDIUM,24.0,True,Alpine,0 days 01:33:02.934000,2026-05-24 20:40:18.408,1,9.0,False,,False,True,77.292,77.292
63,0 days 01:35:37.545000,GAS,10,0 days 00:01:17.319000,25.0,1.0,,,22.051,24.455,30.813,0 days 01:34:42.307000,0 days 01:35:06.762000,0 days 01:35:37.575000,237.0,278.0,274.0,304.0,False,MEDIUM,25.0,True,Alpine,0 days 01:34:20.226000,2026-05-24 20:41:35.700,1,9.0,False,,False,True,77.319,77.319
64,0 days 01:36:54.643000,GAS,10,0 days 00:01:17.098000,26.0,1.0,,,21.977,24.432,30.689,0 days 01:35:59.552000,0 days 01:36:23.984000,0 days 01:36:54.673000,240.0,275.0,267.0,302.0,True,MEDIUM,26.0,True,Alpine,0 days 01:35:37.545000,2026-05-24 20:42:53.019,1,9.0,False,,False,True,77.098,77.098
65,0 days 01:38:11.693000,GAS,10,0 days 00:01:17.050000,27.0,1.0,,,22.037,24.36,30.653,0 days 01:37:16.710000,0 days 01:37:41.070000,0 days 01:38:11.723000,240.0,278.0,267.0,302.0,True,MEDIUM,27.0,True,Alpine,0 days 01:36:54.643000,2026-05-24 20:44:10.117,1,9.0,False,,False,True,77.05,77.05
66,0 days 01:39:28.674000,GAS,10,0 days 00:01:16.981000,28.0,1.0,,,21.862,24.45,30.669,0 days 01:38:33.585000,0 days 01:38:58.035000,0 days 01:39:28.704000,242.0,277.0,271.0,302.0,True,MEDIUM,28.0,True,Alpine,0 days 01:38:11.693000,2026-05-24 20:45:27.167,1,9.0,False,,False,True,76.981,76.981
67,0 days 01:40:45.541000,GAS,10,0 days 00:01:16.867000,29.0,1.0,,,21.903,24.419,30.545,0 days 01:39:50.607000,0 days 01:40:15.026000,0 days 01:40:45.571000,241.0,278.0,271.0,305.0,True,MEDIUM,29.0,True,Alpine,0 days 01:39:28.674000,2026-05-24 20:46:44.148,12,9.0,False,,False,True,76.867,76.867
68,0 days 01:42:38.274000,GAS,10,0 days 00:01:52.733000,30.0,1.0,,0 days 01:42:14.245000,21.915,37.796,53.022,0 days 01:41:07.486000,0 days 01:41:45.282000,0 days 01:42:38.304000,241.0,235.0,,181.0,False,MEDIUM,30.0,True,Alpine,0 days 01:40:45.541000,2026-05-24 20:48:01.015,26,8.0,False,,False,False,112.733,112.733
69,0 days 01:44:23.010000,GAS,10,0 days 00:01:44.736000,31.0,2.0,0 days 01:42:39.932000,,31.349,36.353,37.034,0 days 01:43:09.653000,0 days 01:43:46.006000,0 days 01:44:23.040000,218.0,218.0,232.0,246.0,False,HARD,1.0,True,Alpine,0 days 01:42:38.274000,2026-05-24 20:49:53.748,67,8.0,False,,False,False,104.736,104.736
70,0 days 01:45:43.714000,GAS,10,0 days 00:01:20.704000,32.0,2.0,,,24.548,25.222,30.934,0 days 01:44:47.588000,0 days 01:45:12.810000,0 days 01:45:43.744000,243.0,276.0,275.0,307.0,False,HARD,2.0,True,Alpine,0 days 01:44:23.010000,2026-05-24 20:51:38.484,71,8.0,False,,False,False,80.704,80.704
71,0 days 01:47:01.831000,GAS,10,0 days 00:01:18.117000,33.0,2.0,,,22.565,24.687,30.865,0 days 01:46:06.309000,0 days 01:46:30.996000,0 days 01:47:01.861000,241.0,282.0,281.0,311.0,False,HARD,3.0,True,Alpine,0 days 01:45:43.714000,2026-05-24 20:52:59.188,1,8.0,False,,False,True,78.117,78.117
