Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
10,0 days 00:40:55.925000,NOR,1,0 days 00:01:16.453000,11.0,3.0,,,21.725,24.503,30.225,0 days 00:40:01.197000,0 days 00:40:25.700000,0 days 00:40:55.925000,241.0,276.0,264.0,304.0,True,HARD,11.0,False,McLaren,0 days 00:39:39.472000,2026-05-22 16:55:41.163,1,,False,,False,True,76.453,76.453
11,0 days 00:57:06.526000,NOR,1,,12.0,3.0,,0 days 00:42:35.761000,25.889,,,0 days 00:41:22.059000,,,190.0,,,,False,HARD,12.0,False,McLaren,0 days 00:40:55.925000,2026-05-22 16:56:57.616,125,,False,,False,False,,
12,0 days 00:58:44.715000,NOR,1,,13.0,4.0,0 days 00:57:06.526000,,,28.035,41.557,,0 days 00:58:03.556000,0 days 00:58:44.864000,201.0,255.0,250.0,243.0,False,HARD,13.0,False,McLaren,0 days 00:57:06.526000,2026-05-22 17:13:08.217,1,,False,,False,False,,
13,0 days 01:00:09.507000,NOR,1,0 days 00:01:24.792000,14.0,4.0,,,23.424,25.996,35.372,0 days 00:59:08.139000,0 days 00:59:34.135000,0 days 01:00:09.507000,229.0,259.0,267.0,240.0,False,HARD,14.0,False,McLaren,0 days 00:58:44.715000,2026-05-22 17:14:46.406,1,,False,,False,True,84.792,84.792
14,0 days 01:01:31.580000,NOR,1,0 days 00:01:22.073000,15.0,4.0,,,22.885,24.384,34.804,0 days 01:00:32.392000,0 days 01:00:56.776000,0 days 01:01:31.580000,229.0,280.0,249.0,235.0,False,HARD,15.0,False,McLaren,0 days 01:00:09.507000,2026-05-22 17:16:11.198,1,,True,TRACK LIMITS AT TURN 4 LAP 16 ,False,True,82.073,82.07300000000001
15,0 days 01:02:47.364000,NOR,1,0 days 00:01:15.784000,16.0,4.0,,,21.845,23.997,29.942,0 days 01:01:53.425000,0 days 01:02:17.422000,0 days 01:02:47.364000,240.0,280.0,272.0,311.0,True,HARD,16.0,False,McLaren,0 days 01:01:31.580000,2026-05-22 17:17:33.271,1,,False,,False,True,75.784,75.78399999999999
16,0 days 01:04:18.891000,NOR,1,0 days 00:01:31.527000,17.0,4.0,,,24.514,29.347,37.666,0 days 01:03:11.878000,0 days 01:03:41.225000,0 days 01:04:18.891000,181.0,228.0,269.0,256.0,False,HARD,17.0,False,McLaren,0 days 01:02:47.364000,2026-05-22 17:18:49.055,1,,False,,False,True,91.527,91.527
17,0 days 01:05:34.083000,NOR,1,0 days 00:01:15.192000,18.0,4.0,,,21.585,23.9,29.707,0 days 01:04:40.476000,0 days 01:05:04.376000,0 days 01:05:34.083000,246.0,282.0,270.0,316.0,True,HARD,18.0,False,McLaren,0 days 01:04:18.891000,2026-05-22 17:20:20.582,1,,False,,False,True,75.192,75.19200000000001
18,0 days 01:07:17.054000,NOR,1,0 days 00:01:42.971000,19.0,4.0,,,27.009,33.229,42.733,0 days 01:06:01.092000,0 days 01:06:34.321000,0 days 01:07:17.054000,190.0,132.0,267.0,203.0,False,HARD,19.0,False,McLaren,0 days 01:05:34.083000,2026-05-22 17:21:35.774,1,,False,,False,True,102.971,102.971
19,0 days 01:08:32.246000,NOR,1,0 days 00:01:15.192000,20.0,4.0,,,21.586,23.798,29.808,0 days 01:07:38.640000,0 days 01:08:02.438000,0 days 01:08:32.246000,244.0,284.0,268.0,316.0,False,HARD,20.0,False,McLaren,0 days 01:07:17.054000,2026-05-22 17:23:18.745,1,,False,,False,True,75.192,75.19200000000001
20,0 days 01:10:02.020000,NOR,1,0 days 00:01:29.774000,21.0,4.0,,,25.01,29.341,35.423,0 days 01:08:57.256000,0 days 01:09:26.597000,0 days 01:10:02.020000,216.0,226.0,269.0,275.0,False,HARD,21.0,False,McLaren,0 days 01:08:32.246000,2026-05-22 17:24:33.937,1,,False,,False,True,89.774,89.774
21,0 days 01:11:29.795000,NOR,1,0 days 00:01:27.775000,22.0,4.0,,,24.408,27.563,35.804,0 days 01:10:26.428000,0 days 01:10:53.991000,0 days 01:11:29.795000,195.0,257.0,267.0,273.0,False,HARD,22.0,False,McLaren,0 days 01:10:02.020000,2026-05-22 17:26:03.711,12,,True,TRACK LIMITS AT TURN 4 LAP 23 ,False,True,87.775,87.775
22,0 days 01:12:45.093000,NOR,1,0 days 00:01:15.298000,23.0,4.0,,,21.428,23.858,30.012,0 days 01:11:51.223000,0 days 01:12:15.081000,0 days 01:12:45.093000,244.0,281.0,238.0,308.0,False,HARD,23.0,False,McLaren,0 days 01:11:29.795000,2026-05-22 17:27:31.486,1,,False,,False,True,75.298,75.298
23,0 days 01:21:32.875000,NOR,1,,24.0,4.0,,0 days 01:14:06.151000,23.913,27.575,,0 days 01:13:09.228000,0 days 01:13:36.800000,,237.0,235.0,,252.0,False,HARD,24.0,False,McLaren,0 days 01:12:45.093000,2026-05-22 17:28:46.784,1,,False,,False,False,,
24,0 days 01:23:02.309000,NOR,1,0 days 00:01:29.434000,25.0,5.0,0 days 01:21:34.428000,,26.91,27.444,35.08,0 days 01:21:59.785000,0 days 01:22:27.229000,0 days 01:23:02.309000,235.0,257.0,268.0,233.0,False,SOFT,1.0,True,McLaren,0 days 01:21:32.875000,2026-05-22 17:37:34.566,1,,False,,False,False,89.434,89.434
25,0 days 01:24:17.108000,NOR,1,0 days 00:01:14.799000,26.0,5.0,,,21.3,23.4,30.099,0 days 01:23:23.609000,0 days 01:23:47.009000,0 days 01:24:17.108000,249.0,284.0,270.0,308.0,True,SOFT,2.0,True,McLaren,0 days 01:23:02.309000,2026-05-22 17:39:04.000,12,,False,,False,True,74.799,74.799
26,0 days 01:26:00.984000,NOR,1,0 days 00:01:43.876000,27.0,5.0,,,25.5,31.173,47.203,0 days 01:24:42.608000,0 days 01:25:13.781000,0 days 01:26:00.984000,215.0,192.0,268.0,175.0,False,SOFT,3.0,True,McLaren,0 days 01:24:17.108000,2026-05-22 17:40:18.799,12,,False,,False,True,103.876,103.876
27,0 days 01:31:26.217000,NOR,1,,28.0,5.0,,0 days 01:27:32.688000,22.815,31.125,,0 days 01:26:24.086000,0 days 01:26:55.179000,,163.0,261.0,,,False,SOFT,4.0,True,McLaren,0 days 01:26:00.984000,2026-05-22 17:42:02.675,125,,False,,False,False,,
